S.No.,indicator code,Indicators, sub indicators,NFHS-5 (2019-20),,,NFHS-4 2015-16,STATE/UT
,,,,Urban,Rural,Total,Total,
105,105.,Hypertension among Adults (age 15 years and above) - Women,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%) - Women,12.6,16.9,15.3,na,Andaman & Nicobar Islands
106,106.,Hypertension among Adults (age 15 years and above) - Women,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%) - Women,5.0,4.8,4.9,na,Andaman & Nicobar Islands
107,107.,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,23.4,26.4,25.3,na,Andaman & Nicobar Islands
108,108.,Hypertension among Adults (age 15 years and above) - Men,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%) - Men,17.6,22.1,20.6,na,Andaman & Nicobar Islands
109,109.,Hypertension among Adults (age 15 years and above) - Men,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%) - Men,6.5,6.4,6.5,na,Andaman & Nicobar Islands
110,110.,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,28.2,31.2,30.2,na,Andaman & Nicobar Islands
111,111.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone a screening test for cervical cancer (%) - Women,1.7,2.8,2.4,na,Andaman & Nicobar Islands
112,112.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone a breast examination for breast cancer (%) - Women,0.0,2.6,1.6,na,Andaman & Nicobar Islands
113,113.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone an oral cavity examination for oral cancer (%) - Women,10.0,10.2,10.1,na,Andaman & Nicobar Islands
114,114.,Screening for Cancer among Adults (age 30-49 years) - Men,Ever undergone an oral cavity examination for oral cancer (%) - Men,3.5,4.0,3.8,na,Andaman & Nicobar Islands
115,115.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Women who have comprehensive knowledge of HIV/AIDS (%),10.1,18.4,14.9,29.3,Andaman & Nicobar Islands
116,116.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Men who have comprehensive knowledge of HIV/AIDS (%),36.8,33.4,34.7,44.0,Andaman & Nicobar Islands
117,117.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),81.4,72.5,76.3,59.5,Andaman & Nicobar Islands
118,118.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),67.5,62.2,64.3,75.3,Andaman & Nicobar Islands
